A
0
0
136.58
327.45
527.06
649.1
714.1
719.06
636.46
488.89
295.65
112.98
0
0
0
0
0
0
0
0
0
0
0
0
0
0
140.75
309.88
529.22
676
702.89
707.77
638.27
490.97
296.83
53.82
0
0
0
0
0
0
0
0
0
0
0
0
0
0
160.52
374.97
581.34
702.69
746.11
738.02
665.07
502.56
305.39
121.43
0
0
0
0
0
0
0
0
0
0
0
0
0
0
174.73
375.98
561.64
704.33
747.71
739.61
679.83
534.42
337.41
125.47
0
0
0
0
0
0
0
0
0
0
0
0
0
0
152.63
333.94
497.77
623.87
714.5
706.34
614.69
492.87
289.94
96.14
0
0
0
0
0
0
0
0
0
0
0
0
0
0
137.68
355.04
509.2
650.35
689.16
709.23
616.43
477.27
298.34
102.22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
139.81
336.16
529.83
676.62
745.82
737.68
618.14
479.22
299.38
106.33
0
0
0
0
0
0
0
0
0
0
0
0
0
0
143.54
337.19
511.8
678.17
747.25
740.38
657.33
490.5
307.59
126.36
0
0
0
0
0
0
0
0
0
0
0
0
0
0
143.86
345.19
542.74
655.27
749.92
715.05
684.61
550.89
308.54
112.49
0
0
0
0
0
0
0
0
0
0
0
0
0
0
129.4
326.56
524.74
656.82
724.66
730.43
661.56
523.29
316.55
116.32
0
0
0
0
0
0
0
0
0
0
0
0
0
0
152.5
374.72
546.14
683.84
753.83
733.05
651.46
506.46
318.81
138.91
0
0
0
0
0
0
0
0
0
0
0
0
0
0
106.04
329.84
380.83
380.11
572.61
568.09
526.64
417.54
190.66
125.37
0
0
0
0
0
0
0
0
0
0
0
0
0
0
106.6
241.53
442.86
601.68
688.59
723.08
655.54
569.92
328.78
127.22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
124.45
319.29
510.81
651.25
718.76
739.38
632.85
493.19
311.5
130.67
0
0
0
0
0
0
0
0
0
0
0
0
0
0
180.93
408.36
562.7
704.2
748.7
728.11
635.52
475.42
295.79
117.68
0
0
0
0
0
0
0
0
0
0
0
0
0
0
166.77
368.23
565.39
680.31
749.86
757.9
649.45
505.51
321.28
138.92
0
0
0
0
0
0
0
0
0
0
0
0
0
7.7
152.87
348.65
525.91
670.3
767.07
760.22
702.06
517.34
328.78
126.12
0
0
0
0
0
0
0
0
0
0
0
0
0
7.26
122.57
311.95
507.08
646.66
739.74
761.26
653.26
539.27
330.78
129.4
0
0
0
0
0
0
0
0
0
0
0
0
0
3.43
29.96
169.63
389.71
563.7
673.28
667.61
594.89
520.28
295.17
132.59
0
0
0
0
0
0
0
0
0
0
0
0
0
12.98
99.34
47.43
0
0
635.41
0
0
20.26
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
15.38
102.74
0
0
0
0
683.66
696.32
504.19
347.13
140.27
0
0
0
0
0
0
0
0
0
0
0
0
0
8.76
119.12
322.84
494.4
692.07
776.82
784.64
672.77
468
348.91
143.21
0
0
0
0
0
0
0
0
0
0
0
0
0
11.11
172.55
371.37
566.76
694.31
778.91
785.48
673.84
547.03
331.03
144.59
0
0
0
0
0
0
0
0
0
0
0
0
0
13.23
176.49
373
569.16
722.05
795.45
758.52
688.28
498.52
357.57
148.88
0
0
0
0
0
0
0
0
0
0
0
0
0
15.15
162.01
374.6
549.35
672.05
767.36
775.06
664.99
499.93
339.83
153.06
0
0
0
0
0
0
0
0
0
0
0
0
0
19.31
167.34
383.78
583.65
699.62
798.17
805.85
691.41
511.18
340.28
136.96
0
0
0
0
0
0
0
0
0
0
0
0
0
20.79
171.16
363.79
563.92
688.52
771.42
777.86
720.02
532.11
367.5
156.85
0
0
0
0
0
0
0
0
0
0
0
0
0
15.5
210.43
387.97
586.89
730.15
787.69
779.82
681.24
513.79
348.73
143.86
0
0
0
0
0
0
0
0
0
0
0
0
0
25.5
194.79
434.31
589.07
732.1
789.6
781.75
683.35
515.06
349.07
145.08
0
0
0
0
0
0
0
0
0
0
0
0
0
20.42
182.12
420.53
569.54
719.76
790.3
782.47
710.43
545.32
376.96
147.66
0
0
0
0
0
0
0
0
0
0
0
0
0
23.57
216.1
446.37
626.89
748.92
792.16
770.22
685.13
497.07
332.3
151.53
0
0
0
0
0
0
0
0
0
0
0
0
0
28.39
171.95
365.25
562
683.56
750.6
770.96
687.17
558.26
358.68
152.61
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1.31
315
