Year,Month,Day ,Hour,Irridiance,Temp
2016,3,8,11,705.54,34.31
2016,3,8,12,729.57,34.98
2016,3,8,13,693.79,35.01
2016,3,8,14,589.27,34.88
2016,3,8,15,430.46,34.12
2016,3,8,16,233.53,32.64
2016,3,8,17,54.88,28.88
2016,3,8,18,0,26.36
2016,3,8,19,0,25.58
2016,3,8,20,0,25.01
2016,3,8,21,0,24.59
2016,3,8,22,0,24.35
2016,3,8,23,0,23.9
2016,3,9,0,0,23.29
2016,3,9,1,0,22.5
2016,3,9,2,0,21.77
2016,3,9,3,0,21.17
2016,3,9,4,0,20.61
2016,3,9,5,0,20.09
2016,3,9,6,26.48,20.76
2016,3,9,7,188.22,23.42
2016,3,9,8,394.36,27.11
2016,3,9,9,584.38,31.01
2016,3,9,10,747.46,33.23
2016,3,9,11,799.49,34.5
2016,3,9,12,810.77,35.27
2016,3,9,13,712.28,35.59
2016,3,9,14,620.94,35.41
2016,3,9,15,440.09,34.79
2016,3,9,16,241.98,33.39
2016,3,9,17,56.36,29.65
2016,3,9,18,0,27.35
2016,3,9,19,0,26.65
2016,3,9,20,0,26.08
2016,3,9,21,0,25.81
2016,3,9,22,0,25.31
2016,3,9,23,0,25.25
2016,3,10,0,0,25.05
2016,3,10,1,0,24.64
2016,3,10,2,0,23.73
2016,3,10,3,0,23.14
2016,3,10,4,0,22.5
2016,3,10,5,0,21.75
2016,3,10,6,29.52,22.01
2016,3,10,7,194.46,24.36
2016,3,10,8,406.06,27.76
2016,3,10,9,585.31,31.85
2016,3,10,10,732.26,33.75
2016,3,10,11,771.75,34.94
2016,3,10,12,796.28,35.61
2016,3,10,13,741.27,35.95
2016,3,10,14,614.05,35.68
2016,3,10,15,447.8,34.82
2016,3,10,16,249.07,33.32
2016,3,10,17,55.28,29.48
2016,3,10,18,0,27.12
2016,3,10,19,0,26.25
2016,3,10,20,0,25.48
2016,3,10,21,0,24.78
2016,3,10,22,0,24.16
2016,3,10,23,0,23.76
2016,3,11,0,0,23.88
2016,3,11,1,0,23.66
2016,3,11,2,0,23.32
2016,3,11,3,0,23.04
2016,3,11,4,0,22.64
2016,3,11,5,0,22.14
2016,3,11,6,30.14,22.31
2016,3,11,7,208.16,24.73
2016,3,11,8,428.19,28.14
2016,3,11,9,624.94,32.58
2016,3,11,10,786.65,34.23
2016,3,11,11,817.31,35.21
2016,3,11,12,838.56,35.87
2016,3,11,13,784.89,36.14
2016,3,11,14,646.59,36.03
2016,3,11,15,462.64,35.3
2016,3,11,16,245.16,33.85
2016,3,11,17,56.53,29.68
2016,3,11,18,0,27.13
2016,3,11,19,0,26.35
2016,3,11,20,0,25.7
2016,3,11,21,0,25.15
2016,3,11,22,0,24.74
2016,3,11,23,0,24.35
2016,3,12,0,0,24.05
2016,3,12,1,0,23.74
2016,3,12,2,0,23.4
2016,3,12,3,0,22.98
2016,3,12,4,0,22.55
2016,3,12,5,0,21.9
2016,3,12,6,30.48,21.81
2016,3,12,7,199.81,23.8
2016,3,12,8,403.51,26.12
2016,3,12,9,597.8,29.15
2016,3,12,10,684.21,32.89
2016,3,12,11,693.58,34.92
2016,3,12,12,699.38,35.63
2016,3,12,13,668.8,35.56
2016,3,12,14,603.7,35.27
2016,3,12,15,434.74,34.26
2016,3,12,16,249.09,32
2016,3,12,17,57.38,29.49
2016,3,12,18,0,27.95
2016,3,12,19,0,27.17
2016,3,12,20,0,26.18
2016,3,12,21,0,25.08
2016,3,12,22,0,24.03
2016,3,12,23,0,23
2016,3,13,0,0,22.05
2016,3,13,1,0,21.31
2016,3,13,2,0,20.8
2016,3,13,3,0,20.2
2016,3,13,4,0,19.76
2016,3,13,5,0,19.86
2016,3,13,6,30.54,20.65
2016,3,13,7,152.28,22.89
2016,3,13,8,311.73,26.08
2016,3,13,9,277.28,29.3
2016,3,13,10,387.18,32.29
2016,3,13,11,523.41,35.09
2016,3,13,12,581.22,36.59
2016,3,13,13,457.06,37.21
2016,3,13,14,477.61,37.05
2016,3,13,15,321.12,35.87
2016,3,13,16,188.05,33.99
2016,3,13,17,44.2,30.28
2016,3,13,18,0,27.8
2016,3,13,19,0,26.87
2016,3,13,20,0,25.88
2016,3,13,21,0,24.84
2016,3,13,22,0,23.91
2016,3,13,23,0,23.15
2016,3,14,0,0,22.54
2016,3,14,1,0,22.19
2016,3,14,2,0,22.27
2016,3,14,3,0,21.85
2016,3,14,4,0,21.05
2016,3,14,5,0,20.58
2016,3,14,6,14.55,21.33
2016,3,14,7,151.3,24.58
2016,3,14,8,277.12,28.39
2016,3,14,9,427.74,32.2
2016,3,14,10,280.22,33.91
2016,3,14,11,361.41,34.86
2016,3,14,12,474.34,35.35
2016,3,14,13,443.42,35.49
2016,3,14,14,342.72,35.24
2016,3,14,15,245.62,34.42
2016,3,14,16,140.8,32.91
2016,3,14,17,40.19,29.65
2016,3,14,18,0,27.31
2016,3,14,19,0,26.61
2016,3,14,20,0,25.81
2016,3,14,21,0,24.98
2016,3,14,22,0,24.35
2016,3,14,23,0,23.8
2016,3,15,0,0,23.26
2016,3,15,1,0,22.65
2016,3,15,2,0,22.08
2016,3,15,3,0,21.43
2016,3,15,4,0,20.83
2016,3,15,5,0,20.5
2016,3,15,6,32.89,21.73
2016,3,15,7,201.98,24.38
2016,3,15,8,406.41,27.17
2016,3,15,9,600.05,29.31
2016,3,15,10,756.48,31.37
2016,3,15,11,821.86,32.73
2016,3,15,12,826.84,33.68
2016,3,15,13,750.12,34.12
2016,3,15,14,648.66,34.06
2016,3,15,15,469.33,33.45
2016,3,15,16,263.71,32.18
2016,3,15,17,65.89,29.09
2016,3,15,18,0,26.29
2016,3,15,19,0,25.35
2016,3,15,20,0,24.68
2016,3,15,21,0,24.42
2016,3,15,22,0,24.19
2016,3,15,23,0,23.46
2016,3,16,0,0,23.19
2016,3,16,1,0,22.25
2016,3,16,2,0,21.72
2016,3,16,3,0,21.43
2016,3,16,4,0,21.09
2016,3,16,5,0,20.73
2016,3,16,6,37.84,21.6
2016,3,16,7,227.61,24
2016,3,16,8,439.32,28.6
2016,3,16,9,648.51,31.85
2016,3,16,10,812.7,33.17
2016,3,16,11,888.66,34.06
2016,3,16,12,882.19,34.65
2016,3,16,13,815.31,34.87
2016,3,16,14,700.7,34.62
2016,3,16,15,518.91,33.9
2016,3,16,16,291.11,32.55
2016,3,16,17,78.39,29.01
2016,3,16,18,0,25.98
2016,3,16,19,0,25.08
2016,3,16,20,0,24.29
2016,3,16,21,0,23.55
2016,3,16,22,0,22.83
2016,3,16,23,0,22.13
2016,3,17,0,0,21.33
2016,3,17,1,0,20.39
2016,3,17,2,0,19.51
2016,3,17,3,0,18.74
2016,3,17,4,0,18.16
2016,3,17,5,0,17.77
2016,3,17,6,43.86,18.92
2016,3,17,7,253.42,23.16
2016,3,17,8,483.62,26.88
2016,3,17,9,680.02,31.07
2016,3,17,10,845.63,32.55
2016,3,17,11,866.9,33.4
2016,3,17,12,840.72,33.44
2016,3,17,13,779.38,33.48
2016,3,17,14,662.22,33.35
2016,3,17,15,466.28,32.49
2016,3,17,16,238.48,31.42
2016,3,17,17,60.62,27.74
2016,3,17,18,0,25.73
2016,3,17,19,0,25.21
2016,3,17,20,0,24.57
2016,3,17,21,0,24.38
2016,3,17,22,0,24.58
2016,3,17,23,0,24.83
2016,3,18,0,0,24.31
2016,3,18,1,0,23.29
2016,3,18,2,0,22.09
2016,3,18,3,0,21.42
2016,3,18,4,0,21.01
2016,3,18,5,0,20.58
2016,3,18,6,42.16,20.37
2016,3,18,7,237.21,23.08
2016,3,18,8,455.87,26.63
2016,3,18,9,646.37,30.14
2016,3,18,10,827.48,32.05
2016,3,18,11,847.99,33.33
2016,3,18,12,830.58,34.19
2016,3,18,13,779.63,34.56
2016,3,18,14,646.31,34.47
2016,3,18,15,459.3,33.78
2016,3,18,16,269.97,32.51
2016,3,18,17,71.08,29.01
2016,3,18,18,0,27.93
2016,3,18,19,0,28.39
2016,3,18,20,0,28.05
2016,3,18,21,0,26.76
2016,3,18,22,0,24.83
2016,3,18,23,0,23.31
2016,3,19,0,0,22.05
2016,3,19,1,0,21.15
2016,3,19,2,0,20.4
2016,3,19,3,0,19.76
2016,3,19,4,0,19.2
2016,3,19,5,0,18.77
2016,3,19,6,31.94,19.98
2016,3,19,7,157.94,23.08
2016,3,19,8,332.38,26.14
2016,3,19,9,474.15,29.84
2016,3,19,10,501.35,32.5
2016,3,19,11,546.27,33.92
2016,3,19,12,530.16,34.67
2016,3,19,13,532.08,35.01
2016,3,19,14,482.81,34.93
2016,3,19,15,368.86,34.18
2016,3,19,16,189.4,32.87
2016,3,19,17,42.91,29.91
2016,3,19,18,0,27.3
2016,3,19,19,0,26.48
2016,3,19,20,0,25.78
2016,3,19,21,0,25.13
2016,3,19,22,0,24.55
2016,3,19,23,0,24.01
2016,3,20,0,0,23.65
2016,3,20,1,0,23.23
2016,3,20,2,0,22.61
2016,3,20,3,0,22.27
2016,3,20,4,0,21.76
2016,3,20,5,0,21.26
2016,3,20,6,27.2,22.19
2016,3,20,7,127.71,24.49
2016,3,20,8,262.45,27.76
2016,3,20,9,390.96,30.27
2016,3,20,10,571.27,32
2016,3,20,11,591.53,33.3
2016,3,20,12,637.24,34.14
2016,3,20,13,510.38,34.5
2016,3,20,14,494.88,34.37
2016,3,20,15,337.53,33.74
2016,3,20,16,180.62,32.8
2016,3,20,17,44.63,30.27
2016,3,20,18,0,28.23
2016,3,20,19,0,27.43
2016,3,20,20,0,26.76
2016,3,20,21,0,25.99
2016,3,20,22,0,25.2
2016,3,20,23,0,24.47
2016,3,21,0,0,23.8
2016,3,21,1,0,23.21
2016,3,21,2,0,22.73
2016,3,21,3,0,22.33
2016,3,21,4,0,22
2016,3,21,5,0,21.75
2016,3,21,6,25.3,22.93
2016,3,21,7,113.21,25.24
2016,3,21,8,241.98,28.01
2016,3,21,9,367.76,31.01
2016,3,21,10,474.95,33.05
2016,3,21,11,513.95,34.46
2016,3,21,12,647.38,35.39
2016,3,21,13,514.28,35.81
2016,3,21,14,474.7,35.94
2016,3,21,15,423.3,35.4
2016,3,21,16,237.37,34.12
2016,3,21,17,59.53,30.38
2016,3,21,18,0,28.05
2016,3,21,19,0,27.19
2016,3,21,20,0,26.15
2016,3,21,21,0,25.21
2016,3,21,22,0,24.44
2016,3,21,23,0,23.88
2016,3,22,0,0,23.58
2016,3,22,1,0,23.43
2016,3,22,2,0,23.02
2016,3,22,3,0,22.18
2016,3,22,4,0,21.18
2016,3,22,5,0,20.43
2016,3,22,6,52.66,21.66
2016,3,22,7,256.76,24.78
2016,3,22,8,474.17,27.87
2016,3,22,9,686.96,30.94
2016,3,22,10,856.36,33.46
2016,3,22,11,914.65,35.15
2016,3,22,12,909.41,36.09
2016,3,22,13,865.35,36.62
2016,3,22,14,712.58,36.62
2016,3,22,15,524.77,36.04
2016,3,22,16,298.07,34.64
2016,3,22,17,84.44,30.06
2016,3,22,18,0,26.58
2016,3,22,19,0,25.4
2016,3,22,20,0,24.31
2016,3,22,21,0,23.33
2016,3,22,22,0,22.58
2016,3,22,23,0,22.09
2016,3,23,0,0,21.81
2016,3,23,1,0,21.29
2016,3,23,2,0,20.44
2016,3,23,3,0,19.7
2016,3,23,4,0,19.4
2016,3,23,5,0,19.51
2016,3,23,6,56.17,21.15
2016,3,23,7,274.83,24.65
2016,3,23,8,511.96,27.88
2016,3,23,9,700.23,30.85
2016,3,23,10,863.26,33.11
2016,3,23,11,910.47,34.62
2016,3,23,12,883.38,35.63
2016,3,23,13,805.19,36.07
2016,3,23,14,663.84,35.98
2016,3,23,15,515.06,35.34
2016,3,23,16,275.49,33.95
2016,3,23,17,71.43,29.8
2016,3,23,18,0,28.03
2016,3,23,19,0,27.7
2016,3,23,20,0,27.9
2016,3,23,21,0,26.76
2016,3,23,22,0,24.77
2016,3,23,23,0,22.53
2016,3,24,0,0,20.54
2016,3,24,1,0,19.67
2016,3,24,2,0,19.24
2016,3,24,3,0,19.01
2016,3,24,4,0,18.93
2016,3,24,5,0,18.92
2016,3,24,6,44.8,20.58
2016,3,24,7,225.42,25.16
2016,3,24,8,432.28,28.26
2016,3,24,9,627.73,30.83
2016,3,24,10,807.53,32.73
2016,3,24,11,837.52,34.12
2016,3,24,12,846.68,35.07
2016,3,24,13,819.53,35.55
2016,3,24,14,666.82,35.53
2016,3,24,15,495.42,34.97
2016,3,24,16,277.98,33.82
2016,3,24,17,73.02,31.07
2016,3,24,18,0,29.18
2016,3,24,19,0,28.61
2016,3,24,20,0,27.9
2016,3,24,21,0,26.88
2016,3,24,22,0,25.73
